0.444252,0.447996,0.871781,0.86837,-2.14065,-2.14203,-0.464445,-0.468345,0.910898,0.907822,-2.0829,-2.08374,0.44717,0.451112,0.780235,0.775959,-2.06809,-2.0684,-0.44946,-0.453365,0.743456,0.738701,-2.12011,-2.12124
0.442009,0.447492,0.873439,0.868238,-2.13994,-2.14165,-0.462099,-0.467877,0.912358,0.907738,-2.08248,-2.08374,0.444912,0.450704,0.782355,0.775948,-2.06775,-2.06836,-0.44719,-0.452909,0.745762,0.738665,-2.1195,-2.1209
0.439765,0.446905,0.875096,0.868142,-2.13923,-2.14126,-0.459754,-0.467302,0.913818,0.907702,-2.08206,-2.08339,0.442654,0.450297,0.784476,0.775936,-2.06741,-2.0684,-0.44492,-0.452418,0.748068,0.738629,-2.11889,-2.12078
0.437521,0.446318,0.876754,0.868046,-2.13852,-2.14092,-0.457408,-0.466666,0.915279,0.907558,-2.08164,-2.08332,0.440395,0.449805,0.786596,0.775875,-2.06706,-2.0684,-0.44265,-0.451758,0.750374,0.738581,-2.11829,-2.12067
0.435278,0.445659,0.878412,0.867926,-2.13781,-2.14049,-0.455062,-0.465995,0.916739,0.90745,-2.08123,-2.08266,0.438137,0.44929,0.788716,0.775912,-2.06672,-2.06832,-0.44038,-0.451195,0.752679,0.738521,-2.11768,-2.12059
0.433034,0.444819,0.880069,0.867806,-2.13709,-2.14007,-0.452716,-0.465336,0.918199,0.907331,-2.08081,-2.0822,0.435878,0.44869,0.790836,0.775924,-2.06637,-2.06798,-0.43811,-0.450548,0.754985,0.738533,-2.11707,-2.12055
0.43079,0.44416,0.881727,0.867687,-2.13638,-2.13973,-0.450371,-0.464593,0.919659,0.907235,-2.08039,-2.08148,0.43362,0.448223,0.792956,0.775948,-2.06603,-2.06844,-0.43584,-0.449961,0.757291,0.738533,-2.11647,-2.12009
0.428546,0.443417,0.883385,0.867579,-2.13567,-2.13969,-0.448025,-0.463982,0.921119,0.907211,-2.07997,-2.08144,0.431361,0.447576,0.795076,0.775971,-2.06569,-2.06851,-0.43357,-0.44923,0.759597,0.738593,-2.11586,-2.11975
0.426303,0.442783,0.885042,0.867543,-2.13496,-2.1395,-0.445679,-0.463239,0.922579,0.907127,-2.07955,-2.08098,0.429103,0.447,0.797196,0.775995,-2.06534,-2.06851,-0.4313,-0.448607,0.761902,0.738617,-2.11525,-2.11956
0.424059,0.441943,0.8867,0.867519,-2.13425,-2.13915,-0.443334,-0.462484,0.924039,0.907187,-2.07913,-2.08059,0.426844,0.446341,0.799316,0.776056,-2.065,-2.06855,-0.42903,-0.447924,0.764208,0.738629,-2.11465,-2.11944
0.421815,0.441284,0.888358,0.867519,-2.13354,-2.13881,-0.440988,-0.461777,0.925499,0.907271,-2.07871,-2.08052,0.424586,0.445742,0.801436,0.776092,-2.06465,-2.06855,-0.42676,-0.447277,0.766514,0.738833,-2.11404,-2.1194
0.419572,0.440637,0.890015,0.867531,-2.13283,-2.13919,-0.438642,-0.461118,0.92696,0.907283,-2.07829,-2.08029,0.422328,0.444963,0.803556,0.776151,-2.06431,-2.06851,-0.42449,-0.446665,0.76882,0.739001,-2.11343,-2.1194
0.417328,0.439966,0.891673,0.867651,-2.13212,-2.13892,-0.436297,-0.460242,0.92842,0.907403,-2.07788,-2.08025,0.420069,0.444279,0.805676,0.776247,-2.06397,-2.06855,-0.42222,-0.445886,0.771126,0.739217,-2.11283,-2.11929
0.415084,0.439295,0.893331,0.867795,-2.13141,-2.13885,-0.433951,-0.459451,0.92988,0.907571,-2.07746,-2.07994,0.417811,0.443476,0.807796,0.776355,-2.06362,-2.06851,-0.41995,-0.445142,0.773431,0.739421,-2.11222,-2.11913
0.412841,0.438455,0.894988,0.867927,-2.1307,-2.139,-0.431605,-0.458468,0.93134,0.907703,-2.07704,-2.08032,0.415552,0.442685,0.809916,0.776547,-2.06328,-2.0684,-0.41768,-0.444339,0.775737,0.739672,-2.11161,-2.11894
0.410597,0.437797,0.896646,0.868023,-2.12999,-2.13854,-0.42926,-0.457509,0.9328,0.907871,-2.07662,-2.08044,0.413294,0.441799,0.812036,0.776775,-2.06293,-2.06832,-0.41541,-0.443524,0.778043,0.74002,-2.11101,-2.11879
0.408353,0.436969,0.898304,0.868274,-2.12928,-2.1385,-0.426914,-0.456683,0.93426,0.908099,-2.0762,-2.08055,0.411035,0.440864,0.814156,0.777039,-2.06259,-2.06798,-0.41314,-0.442734,0.780349,0.740416,-2.1104,-2.11856
0.406109,0.436215,0.899961,0.868623,-2.12857,-2.13835,-0.424568,-0.455424,0.93572,0.908302,-2.07578,-2.08063,0.408777,0.439833,0.816276,0.777291,-2.06225,-2.06798,-0.41087,-0.441775,0.782654,0.740871,-2.1098,-2.11852
0.403866,0.435171,0.901619,0.868898,-2.12786,-2.13816,-0.422223,-0.454297,0.93718,0.90853,-2.07536,-2.08082,0.406519,0.438838,0.818396,0.777602,-2.0619,-2.06794,-0.4086,-0.44078,0.78496,0.741303,-2.10919,-2.11814
0.401622,0.434212,0.903277,0.869174,-2.12715,-2.13816,-0.419877,-0.45305,0.93864,0.908746,-2.07495,-2.08078,0.40426,0.437627,0.820516,0.778143,-2.06156,-2.06755,-0.40633,-0.439593,0.787266,0.741806,-2.10858,-2.11783
0.399378,0.433158,0.904935,0.869606,-2.12644,-2.13812,-0.417531,-0.451804,0.9401,0.909034,-2.07453,-2.08075,0.402002,0.436452,0.822636,0.778598,-2.06122,-2.06729,-0.40406,-0.43855,0.789572,0.742466,-2.10798,-2.11752
0.397135,0.43191,0.906592,0.870001,-2.12573,-2.13785,-0.415186,-0.45057,0.941561,0.909273,-2.07411,-2.08063,0.399743,0.434965,0.824756,0.779041,-2.06087,-2.06702,-0.40179,-0.437388,0.791878,0.743053,-2.10737,-2.11729
0.394891,0.430688,0.90825,0.870337,-2.12502,-2.13739,-0.41284,-0.448987,0.943021,0.909453,-2.07369,-2.08021,0.397485,0.433467,0.826876,0.779641,-2.06053,-2.06675,-0.39952,-0.436237,0.794183,0.743712,-2.10676,-2.11703
0.392647,0.429141,0.909908,0.87066,-2.12431,-2.13712,-0.410494,-0.447573,0.944481,0.909656,-2.07327,-2.08052,0.395226,0.432089,0.828996,0.780432,-2.06018,-2.06648,-0.39725,-0.434726,0.796489,0.744504,-2.10616,-2.11672
0.390404,0.427823,0.911565,0.871104,-2.1236,-2.13689,-0.408149,-0.445847,0.945941,0.909848,-2.07285,-2.07983,0.392968,0.430471,0.831116,0.781163,-2.05984,-2.06625,-0.39498,-0.433312,0.798795,0.745415,-2.10555,-2.11637
0.38816,0.426218,0.913223,0.871559,-2.12289,-2.13662,-0.405803,-0.444229,0.947401,0.910088,-2.07243,-2.0796,0.390709,0.428877,0.833236,0.781882,-2.0595,-2.06594,-0.39271,-0.431802,0.801101,0.746242,-2.10494,-2.11591
0.385916,0.424551,0.914881,0.87199,-2.12218,-2.13639,-0.403457,-0.442527,0.948861,0.910316,-2.07201,-2.07929,0.388451,0.427055,0.835356,0.782805,-2.05915,-2.06602,-0.39044,-0.43034,0.803406,0.747189,-2.10434,-2.11576
0.383673,0.422705,0.916538,0.872458,-2.12147,-2.1362,-0.401112,-0.440801,0.950321,0.910591,-2.0716,-2.07902,0.386193,0.42533,0.837476,0.783932,-2.05881,-2.06556,-0.38817,-0.428529,0.805712,0.748304,-2.10373,-2.11541
0.381429,0.421088,0.918196,0.872973,-2.12076,-2.13624,-0.398766,-0.439075,0.951781,0.910963,-2.07118,-2.07864,0.383934,0.423388,0.839596,0.784903,-2.05846,-2.06525,-0.3859,-0.426732,0.808018,0.749491,-2.10312,-2.11476
0.379185,0.419182,0.919854,0.873393,-2.12005,-2.13582,-0.39642,-0.437326,0.953241,0.911383,-2.07076,-2.07894,0.381676,0.421674,0.841716,0.785849,-2.05812,-2.06506,-0.38363,-0.424851,0.810324,0.750581,-2.10252,-2.11461
0.376941,0.417348,0.921511,0.873956,-2.11934,-2.13555,-0.394074,-0.435312,0.954702,0.911778,-2.07034,-2.07833,0.379417,0.419588,0.843836,0.787072,-2.05778,-2.06487,-0.38136,-0.422897,0.81263,0.751731,-2.10191,-2.11384
0.374698,0.415394,0.923169,0.874483,-2.11863,-2.13543,-0.391729,-0.433382,0.956162,0.912342,-2.06992,-2.0781,0.377159,0.417887,0.845956,0.788463,-2.05743,-2.06487,-0.37909,-0.420835,0.814935,0.753086,-2.1013,-2.11342
0.372454,0.413573,0.924827,0.875023,-2.11792,-2.13513,-0.389383,-0.431477,0.957622,0.912869,-2.0695,-2.07783,0.3749,0.415705,0.848076,0.789938,-2.05709,-2.06475,-0.37682,-0.418545,0.817241,0.754476,-2.1007,-2.11281
0.37021,0.411512,0.926484,0.875598,-2.11721,-2.13486,-0.387037,-0.429596,0.959082,0.913625,-2.06908,-2.07756,0.372642,0.4138,0.850196,0.791292,-2.05674,-2.06464,-0.37455,-0.416593,0.819547,0.756034,-2.10009,-2.11219
0.367967,0.408359,0.928142,0.876713,-2.1165,-2.13421,-0.384692,-0.426671,0.960542,0.914679,-2.06866,-2.07733,0.370384,0.410683,0.852316,0.793581,-2.0564,-2.0646,-0.37228,-0.413381,0.821853,0.75842,-2.09948,-2.1115
0.365723,0.406178,0.9298,0.877324,-2.11578,-2.13378,-0.382346,-0.424682,0.962002,0.91547,-2.06825,-2.0771,0.368125,0.408695,0.854436,0.795139,-2.05606,-2.06452,-0.37001,-0.410923,0.824158,0.760303,-2.09888,-2.11066
0.363479,0.404177,0.931457,0.878151,-2.11507,-2.13329,-0.38,-0.422861,0.963462,0.916478,-2.06783,-2.07687,0.365867,0.406777,0.856556,0.797081,-2.05571,-2.06495,-0.36774,-0.408574,0.826464,0.76204,-2.09827,-2.10985
0.361235,0.402236,0.933115,0.879039,-2.11436,-2.1329,-0.377655,-0.420691,0.964922,0.917353,-2.06741,-2.07664,0.363608,0.404752,0.858676,0.798794,-2.05537,-2.06456,-0.36547,-0.406562,0.82877,0.763681,-2.09766,-2.10951
0.358992,0.399947,0.934773,0.879986,-2.11365,-2.13221,-0.375309,-0.418714,0.966382,0.918215,-2.06699,-2.07641,0.36135,0.402763,0.860796,0.800676,-2.05502,-2.06452,-0.3632,-0.404128,0.831076,0.76555,-2.09706,-2.10916
